,Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giám2,
0,8/5/2020,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",4,5 phòng,46,10,4.6,"86,96 triệu",
1,8/5/2020,"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",4,3 phòng,37,10,3.7,"116,22 triệu",
2,8/5/2020,"phố minh khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",4,4 phòng,40,10,4,65 triệu,
3,8/5/2020,"Đường Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",4,6 phòng,50,10,5,100 triệu,
4,8/5/2020,"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",4,4 phòng,36,9,4,"86,11 triệu",
5,8/5/2020,"Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",4,4 phòng,46,10,4.6,"104,35 triệu",
6,8/5/2020,"Đường Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",4,3 phòng,52,13,4,"112,5 triệu",
7,8/5/2020,"Đường Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Đống Mác,"Nhà mặt phố, mặt tiền",6,5 phòng,32,10,3.2,"184,38 triệu",
8,8/5/2020,"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",6,4 phòng,75,12,6.25,120 triệu,
9,8/5/2020,"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",4,3 phòng,41,10,4.1,"64,63 triệu",
